epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.535,2.30639,4.20743,1.09688,0.01038,0.48966,0.30893,0.13543,2.15548,4.64352,1.12245,0.000252328,0.000252328,0.000252328
2,330.724,2.14438,2.41054,1.13529,0.89765,0.30245,0.63312,0.26326,2.14598,3.28884,1.10856,0.00047509,0.00047509,0.00047509
3,507.687,2.08426,2.23227,1.10012,0.69265,0.60615,0.64307,0.25362,2.13686,2.57073,1.12311,0.000664015,0.000664015,0.000664015
4,704.04,2.12999,2.26585,1.11804,0.78712,0.62759,0.68058,0.265,2.16084,2.11376,1.16515,0.000616738,0.000616738,0.000616738
5,922.951,1.97901,2.00334,1.0971,0.81181,0.68276,0.72343,0.28382,2.14583,2.04593,1.17775,0.000565984,0.000565984,0.000565984
