epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1006,2.58088,2.74849,0.92908,0.78827,0.75838,0.77376,0.35824,1.70704,1.72123,1.04173,0.00017687,0.00017687,0.00017687
2,117.844,2.2304,2.36943,0.90243,0.87664,0.77778,0.85573,0.39669,1.60816,1.52129,1.02598,0.000337576,0.000337576,0.000337576
3,175.701,2.29048,2.47765,0.84198,0.7894,0.74074,0.82494,0.3593,1.7699,1.77418,1.04511,0.000473919,0.000473919,0.000473919
4,236.645,2.23893,2.2881,0.87466,0.7504,0.66812,0.75407,0.33138,1.80206,1.74921,1.03697,0.000585901,0.000585901,0.000585901
5,296.634,2.30688,2.51233,0.8867,0.76223,0.74074,0.82517,0.37832,1.64843,1.56856,1.00943,0.000565984,0.000565984,0.000565984
6,356.343,2.16493,2.85588,0.9292,0.82707,0.70863,0.77942,0.40251,1.6074,1.57927,1.0008,0.00051523,0.00051523,0.00051523
7,417.686,2.19432,3.01586,0.88143,0.87819,0.66757,0.79983,0.41366,1.6218,1.47205,0.99418,0.000464476,0.000464476,0.000464476
8,477.787,2.18673,2.97871,0.88937,0.94821,0.67828,0.86782,0.41817,1.61157,1.3588,1.0102,0.000413722,0.000413722,0.000413722
9,539.224,2.02103,2.60321,0.88401,0.91862,0.77778,0.8983,0.42807,1.58319,1.35871,1.01915,0.000362968,0.000362968,0.000362968
10,601.344,2.10014,2.49639,0.89919,0.93108,0.7037,0.8691,0.42493,1.5979,1.38061,1.01866,0.000312214,0.000312214,0.000312214
11,663.911,2.02708,2.43373,0.87344,0.81443,0.81276,0.88281,0.42075,1.68142,1.33907,1.04395,0.00026146,0.00026146,0.00026146
12,726.958,1.99297,2.2832,0.88058,0.82179,0.85399,0.87899,0.42135,1.6867,1.37765,1.07026,0.000210706,0.000210706,0.000210706
13,792.974,1.9392,2.33394,0.88535,0.95974,0.74074,0.87338,0.43526,1.62702,1.38096,1.0535,0.000159952,0.000159952,0.000159952
14,860.635,2.05026,2.43058,0.8822,0.94911,0.74074,0.85562,0.43512,1.59231,1.35065,1.04286,0.000109198,0.000109198,0.000109198
15,928.659,2.00735,2.32493,0.87224,0.95534,0.74074,0.86564,0.43256,1.57475,1.32659,1.03555,5.8444e-05,5.8444e-05,5.8444e-05
